continentLabel,mountainLabel,latitude,longitude
Америка,Cerro Columa,-18.5,-68.066666666
Америка,Volcán Cerro Negro,12.5078224,-86.7032877
Америка,Blue Mountain Peak,18.046666666,-76.579166666
Америка,Мерседарио,-31.978888888,-70.112777777
Америка,Мерседарио,-31.978888888,-70.112777777
Америка,Мерседарио,-31.978888888,-70.112777777
Америка,Мерседарио,-31.978888888,-70.112777777
Америка,Мерседарио,-31.978888888,-70.112777777
Америка,Халф Доум,37.746,-119.533166666
Америка,Mont Yamaska,45.4569,-72.8719
Америка,Massif du Mitaraka,2.2667,-54.5167
Америка,Massif du Mitaraka,2.26932,-54.47739
Америка,Aprada Tepuy,5.4103248,-62.4477168
Америка,El Altar volcano,-1.664166666,-78.411111111
Америка,Sairecabur,-22.718888888,-67.890555555
Америка,Sairecabur,-22.718888888,-67.890555555
Америка,Falso Azufre,-26.8,-68.37
Америка,Falso Azufre,-26.7997,-68.3629
Америка,Cadillac Mountain,44.352777777,-68.224444444
Америка,Калбуко,-41.332777777,-72.611111111
Америка,Carihuairazo volcano,-1.406944444,-78.75
Америка,Villarrica Volcano,-39.42,-71.939166666
Америка,Cerro Armazones,-24.5899,-70.1918
Америка,Cerro Azul,-0.916666666,-91.408333333
Америка,Cerro Azul,-35.653333333,-70.760833333
Америка,Cerro Catedral,-41.183333333,-71.45
Америка,Cerro El Roble,-32.984722222,-71.016666666
Америка,Cerro El Roble,-32.975555555,-71.013333333
Америка,Cerro Las Minas,14.534166666,-88.68
Америка,Cerro Lípes,-21.914166666,-66.884722222
Америка,Mount Hudson,-45.92,-72.95
Америка,Wila Pukarani,-19.3306,-68.3097
Америка,Quetena Volcano,-22.260833333,-67.415555555
Америка,Cerro Tres Kandú,-25.901666666,-56.16
Америка,Cerro Rico,-19.618901,-65.749687
Америка,Cerro Verde,13.827777777,-89.625277777
Америка,Cerro Verde,13.826411111,-89.622580555
Америка,Guazapa,13.902219444,-89.113630555
Америка,Серо Торе,-49.2906,-73.09901
Америка,El Cerro del Aripo,10.716666666,-61.25
Америка,Cerro del Azufre,-21.783055555,-68.239722222
Америка,Cerros de Incahuasi,-24.033333333,-67.55
Америка,Macizo de Pacuni,-18.316666666,-68.8
Америка,Fourpeaked Mountain,58.77,-153.671944444
Америка,Fourpeaked Mountain,58.77,-153.671944444
Америка,San Miguel,13.433888888,-88.269166666
Америка,Chaupi Orco,-14.653333333,-69.228333333
Америка,San Vicente,13.595,-88.836944444
Америка,Chief Mountain,48.933833,-113.610047
Америка,Chorolque,-20.91794,-66.03619
Америка,Paruma,-20.933333333,-68.483333333
Америка,Qala Phusa,-14.88666667,-69.115
Америка,Cordillera de Azanaques,-18.36819444,-66.90222222
Америка,Cordillera de Azanaques,-18.5,-66.58333
Америка,Cordillera de Chichas,-20.75,-66.0
Америка,Cordillera de Chichas,-20.36667,-66.4
Америка,Illampu,-15.81171,-68.542934
Америка,Sirk'i Qullu,-16.383333333,-67.866666666
Америка,Pico Turquino,19.989444444,-76.835833333
Америка,Soufrière,16.0438,-61.6634
Америка,Mount Lucania,61.023333333,-140.465555555
Америка,Mount Robson,53.110555555,-119.156666666
Америка,Antuco,-37.41,-71.351111111
Америка,Mount Mitchell,35.764761111,-82.264861111
Америка,Ластариа,-25.166666666,-68.5
Америка,Vilama,-22.43,-67.0
Америка,Cerro Capurata,-18.415,-69.0458
Америка,Pitons,13.807083333,-61.070361111
Америка,Cerro Arenales,-47.197222222,-73.4675
Америка,Nevado del Huila,2.933333333,-76.033333333
Америка,Mount Elbert,39.1175,-106.445277777
Америка,La Soufrière,13.333333333,-61.183333333
Америка,Guadalupe Peak,31.891461111,-104.860711111
Америка,Itapalluni,-17.03333333,-67.4
Америка,Анкоума,-15.853333333,-68.540833333
Америка,Doyle's Delight,16.5,-89.05
Америка,Cerro El Pital,14.383333333,-89.116666666
Америка,Pukintika,-18.73333333,-68.98333333
Америка,Jirishanca,-10.251944444,-76.903055555
Америка,Кофре де Пероте,19.491944444,-97.15
Америка,Лоуган,60.567222222,-140.405277777
Америка,Auyán Tepuy,5.9008721,-62.5499729
Америка,Kunturiri,-16.16666667,-68.23333333
Америка,Salla Qullu,-18.46666667,-68.98333333
Америка,Wila Qullu,-18.3833,-68.9667
Америка,Kunturiri,-18.041666666,-69.074722222
Америка,Nevado del Tolima,4.666666666,-75.333333333
Америка,Zapaleri,-22.813805555,-67.1807
Америка,Illimani,-16.633333333,-67.790833333
Америка,Guadalupe Hill,4.59194,-74.0544
Америка,Monserrate,4.605833,-74.056389
Америка,Chaitén,-42.832777777,-72.645833333
Америка,Llaima,-38.697407,-71.730445
Америка,Chachakumani,-15.987222222,-68.383055555
Америка,Cerro San Cristóbal,-33.42527778,-70.63333333
Америка,Mount Carse,-54.716666666,-36.083333333
Америка,Lonquimay,-38.37919,-71.58991814
Америка,Mount Carleton,47.3833,-66.8833
Америка,Mount Shishaldin,54.75,-163.966666666
Америка,Nevados de Payachata,-18.15,-69.1333
